# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   4.098383E+02   2.191059E+17   3.293553E+17
   4.193943E+02   2.247741E+17   3.378766E+17
   4.291732E+02   2.306008E+17   3.466358E+17
   4.391800E+02   2.365911E+17   3.556402E+17
   4.494202E+02   2.427498E+17   3.648975E+17
   4.598991E+02   2.490820E+17   3.744155E+17
   4.706224E+02   2.555928E+17   3.842023E+17
   4.815957E+02   2.622873E+17   3.942664E+17
   4.928248E+02   2.691715E+17   4.046165E+17
   5.043158E+02   2.762521E+17   4.152616E+17
   5.160747E+02   2.835351E+17   4.262112E+17
   5.281078E+02   2.910268E+17   4.374747E+17
   5.404215E+02   2.987344E+17   4.490623E+17
   5.530222E+02   3.066650E+17   4.609844E+17
   5.659172E+02   3.148257E+17   4.732520E+17
   5.791125E+02   3.232233E+17   4.858756E+17
   5.926154E+02   3.318651E+17   4.988670E+17
   6.064331E+02   3.407586E+17   5.122382E+17
   6.205731E+02   3.499122E+17   5.260014E+17
   6.350427E+02   3.593354E+17   5.401697E+17
   6.498497E+02   3.690366E+17   5.547561E+17
   6.650020E+02   3.790248E+17   5.697746E+17
   6.805075E+02   3.893102E+17   5.852392E+17
   6.963746E+02   3.999028E+17   6.011649E+17
   7.126117E+02   4.108127E+17   6.175670E+17
   7.292273E+02   4.220500E+17   6.344612E+17
   7.462304E+02   4.336249E+17   6.518641E+17
   7.636299E+02   4.455484E+17   6.697928E+17
   7.814352E+02   4.578324E+17   6.882649E+17
   7.996556E+02   4.704903E+17   7.072988E+17
   8.183008E+02   4.835341E+17   7.269135E+17
   8.373807E+02   4.969770E+17   7.471288E+17
   8.569056E+02   5.108334E+17   7.679652E+17
   8.768857E+02   5.251176E+17   7.894439E+17
   8.973316E+02   5.398441E+17   8.115869E+17
   9.182543E+02   5.550275E+17   8.344171E+17
   9.396649E+02   5.706829E+17   8.579582E+17
